route,date,time,observers,spec_code,common_name,count,year,route_num,hab_hm,hab_p,hab_o,hab_b,hab_other,vehicles,notes
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,NOPA,Northern Parula,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,YTWA,Yellow-throated Warbler,1,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,PIWA,Pine Warbler,14,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,OVEN,Ovenbird,5,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,HOWA,Hooded Warbler,1,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,SCTA,Scarlet Tanager,3,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,EATO,E Towhee,4,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,NOCA,N Cardinal,32,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,INBU,Indigo Bunting,5,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,BHCO,Brown-headed Cowbird,1,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,HOFI,House Finch,1,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 1, Mount Olive Church Road NE",6/11/2000,5:30,Patricia Bailey and Marsha Stephens,AMGO,Am Goldfinch,2,2000,1,,,,,,,One of our few Hooded Warblers -- are they scarce this year?
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,GBHE,Great Blue Heron,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,MODO,Mourning Dove,24,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,YBCU,Yellow-billed Cuckoo,3,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,WPWI,Whip-Poor-Will,6,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,CHSW,Chimney Swift,3,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,RBWO,Red-bellied Woodpecker,6,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,DOWO,Downy Woodpecker,3,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,HAWO,Hairy Woodpecker,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,NOFL,N Flicker,2,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,EAWP,E Wood-Pewee,2,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,ACFL,Acadian Flycatcher,2,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,EAKI,E Kingbird,3,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,YTVI,Yellow-throated Vireo,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,REVI,Red-eyed Vireo,13,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,BLJA,Blue Jay,3,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,AMCR,Am Crow,16,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,FICR,Fish Crow,0,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,NRWS,N Rough-winged Swal,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,BARS,Barn Swallow,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,CACH,Carolina Chickadee,13,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,TUTI,Tufted Titmouse,18,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,CARW,Carolina Wren,10,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,BGGN,B-g Gnatcatcher,18,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,EABL,E Bluebird,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,WOTH,Wood Thrush,11,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,AMRO,Am Robin,13,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,NOMO,N Mockingbird,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,BRTH,Brown Thrasher,2,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,EUST,Eur Starling,10,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,NOPA,Northern Parula,2,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,YTWA,Yellow-throated Warbler,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,PIWA,Pine Warbler,17,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,PROW,Prothonotary Warbler,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,OVEN,Ovenbird,5,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,COYE,Com Yellowthroat,1,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,YBCH,Yellow-breasted Chat,5,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,SUTA,Summer Tanager,4,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,SCTA,Scarlet Tanager,2,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,EATO,E Towhee,3,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,CHSP,Chipping Sparrow,12,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,NOCA,N Cardinal,26,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,BLGR,Blue Grosbeak,4,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,INBU,Indigo Bunting,9,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,COGR,Com Grackle,4,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,BHCO,Brown-headed Cowbird,6,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 2, Mason Neck SE",5/28/2000,5:30,Norm Budnitz & Mike Schultz,AMGO,Am Goldfinch,7,2000,2,,,,,,,Whip-poor-wills and a Rough-winged Swallow ...
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,GRHE,Green Heron,4,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,NOBO,Northern Bobwhite,3,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,KILL,Killdeer,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,MODO,Mourning Dove,4,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,YBCU,Yellow-billed Cuckoo,4,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,CHSW,Chimney Swift,4,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,RBWO,Red-bellied Woodpecker,3,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,DOWO,Downy Woodpecker,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,HAWO,Hairy Woodpecker,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,EAWP,E Wood-Pewee,5,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,EAPH,E Phoebe,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,GCFL,Gr Crested Flycatcher,4,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,EAKI,E Kingbird,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,WEVI,White-eyed Vireo,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,REVI,Red-eyed Vireo,6,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,BLJA,Blue Jay,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,AMCR,Am Crow,16,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,BARS,Barn Swallow,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,CACH,Carolina Chickadee,10,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,TUTI,Tufted Titmouse,25,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,WBNU,White-br Nuthatch,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,BHNU,Brown-headed Nuthatch,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,CARW,Carolina Wren,20,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,BGGN,B-g Gnatcatcher,5,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,EABL,E Bluebird,7,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,WOTH,Wood Thrush,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,AMRO,Am Robin,8,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,GRCA,Gray Catbird,1,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,NOMO,N Mockingbird,4,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,BRTH,Brown Thrasher,3,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,EUST,Eur Starling,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,PRAW,Prairie Warbler,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,PIWA,Pine Warbler,13,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,OVEN,Ovenbird,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
"Route 3, Bonsal Crossroads SE",6/3/2000,5:35,Haven and Minna Wiley,COYE,Com Yellowthroat,2,2000,3,,,,,,,This route is in the Sanford brick belt -- we passed several brick factories.   There were plenty of birds to go with the bricks -- but no sign of the Wild Turkey that crossed the road a week ago when I was scouting the route!   The Scarlet Tanager was about at the edge of its breeding range in NC (so far as I know).
